OrderMonth,Revenue,Profit,Units,StockoutRate
2024-01,1003193.14,313201.47,3081,0.5697674418604651
2024-02,951337.38,292600.25,2667,0.5650224215246636
2024-03,911406.16,274923.94,2788,0.5899581589958159
2024-04,1055522.53,333230.22,3024,0.55893536121673
2024-05,897633.77,284769.99,2781,0.5546875
2024-06,878198.46,269693.76,2735,0.5684647302904564
2024-07,1055986.5,328990.46,3242,0.6165413533834586
2024-08,1020400.67,315420.92,3006,0.5968992248062015
2024-09,864512.11,268867.92,2660,0.6094420600858369
2024-10,966054.23,296939.08,2905,0.5797665369649806
2024-11,831046.22,258491.01,2563,0.5911111111111111
2024-12,1020136.92,320159.06,3194,0.6216216216216216
2025-01,989883.5599999999,305409.75,3014,0.6254826254826255
2025-02,901519.78,270770.87,2799,0.658008658008658
2025-03,1002490.73,329130.94,2862,0.6197718631178707
2025-04,819410.22,255927.39,2561,0.5482456140350878
2025-05,1109144.97,358142.67,3199,0.6
2025-06,770823.86,233703.13,2489,0.5882352941176471
2025-07,1055431.73,335161.58,3202,0.5653710247349824
2025-08,900429.4,283491.03,2522,0.4956896551724138
2025-09,1049424.02,326212.2,3118,0.615686274509804
2025-10,1101218.59,350646.51,3312,0.6421052631578947
2025-11,935902.03,288540.48,3065,0.583969465648855
2025-12,873825.63,269230.14,2648,0.5793991416309013
