OrderID,OrderDate,Category,Region,Supplier,Warehouse,ShipMode,UnitsOrdered,UnitCost,LeadTimeDays,UnitPrice,UnitsShipped,BackorderUnits,ReorderPoint,ShippingDays,Revenue,COGS,Profit,StockoutFlag,OnTimeFlag,OrderMonth
1003557,2024-01-01,Health & Beauty,East,Supplier B,WH-South,Standard,15,402.01,3,492.06,15,0,66,2,7380.9,6030.15,1350.75,0,1,2024-01
1003052,2024-01-01,Health & Beauty,North,Supplier B,WH-South,Standard,21,349.91,4,481.65,18,3,23,4,8669.7,6298.38,2371.32,1,1,2024-01
1004163,2024-01-01,Apparel,North,Supplier E,WH-East,Express,2,270.27,14,447.6,2,0,52,15,895.2,540.54,354.66,0,0,2024-01
1002035,2024-01-01,Home & Kitchen,South,Supplier E,WH-West,Standard,23,378.59,12,516.38,21,2,52,12,10843.98,7950.39,2893.59,1,1,2024-01
1000980,2024-01-01,Home & Kitchen,North,Supplier B,WH-North,Express,20,309.5,12,397.07,20,0,57,11,7941.4,6190.0,1751.4,0,0,2024-01
1001978,2024-01-01,Electronics,West,Supplier A,WH-South,Standard,16,411.57,4,492.04,11,5,79,3,5412.44,4527.27,885.17,1,1,2024-01
1005178,2024-01-01,Apparel,East,Supplier C,WH-North,Standard,23,346.76,11,497.47,21,2,55,9,10446.87,7281.96,3164.91,1,1,2024-01
1000756,2024-01-01,Health & Beauty,West,Supplier C,WH-North,Standard,14,241.84,13,373.08,14,0,52,12,5223.12,3385.76,1837.36,0,1,2024-01
1003251,2024-01-01,Office Supplies,East,Supplier B,WH-East,Standard,22,272.17,6,414.07,20,2,74,6,8281.4,5443.4,2838.0,1,1,2024-01
1001138,2024-01-01,Office Supplies,North,Supplier C,WH-West,Express,9,217.07,17,325.92,9,0,54,17,2933.28,1953.63,979.65,0,0,2024-01
1000649,2024-01-01,Health & Beauty,East,Supplier C,WH-West,Standard,2,44.74,8,64.88,2,0,38,6,129.76,89.48,40.28,0,1,2024-01
1001802,2024-01-02,Office Supplies,South,Supplier B,WH-East,Express,8,177.71,9,253.23,8,0,65,9,2025.84,1421.68,604.16,0,0,2024-01
1005146,2024-01-02,Electronics,South,Supplier E,WH-North,Same Day,24,278.95,16,451.03,21,3,30,16,9471.63,5857.95,3613.68,1,0,2024-01
1000069,2024-01-02,Office Supplies,South,Supplier B,WH-North,Standard,6,165.92,17,231.8,6,0,31,17,1390.8,995.52,395.28,0,0,2024-01
1001916,2024-01-02,Apparel,South,Supplier C,WH-North,Standard,11,199.75,4,309.76,8,3,18,4,2478.08,1598.0,880.08,1,1,2024-01
1000269,2024-01-02,Home & Kitchen,West,Supplier B,WH-North,Express,17,404.95,11,502.69,17,0,64,11,8545.73,6884.15,1661.58,0,0,2024-01
1000213,2024-01-02,Office Supplies,East,Supplier E,WH-West,Standard,14,171.97,17,237.07,13,1,17,17,3081.91,2235.61,846.3,1,0,2024-01
1002136,2024-01-02,Home & Kitchen,North,Supplier E,WH-East,Standard,18,153.22,9,188.06,17,1,78,8,3197.02,2604.74,592.28,1,1,2024-01
1003910,2024-01-03,Apparel,North,Supplier A,WH-South,Express,23,241.38,15,372.58,22,1,14,15,8196.76,5310.36,2886.4,1,0,2024-01
1001551,2024-01-03,Electronics,South,Supplier C,WH-South,Standard,11,25.59,3,32.77,10,1,24,3,327.7,255.9,71.8,1,1,2024-01
1000884,2024-01-03,Apparel,East,Supplier D,WH-East,Standard,23,426.96,15,655.79,23,0,25,13,15083.17,9820.08,5263.09,0,0,2024-01
1004674,2024-01-03,Apparel,West,Supplier C,WH-East,Standard,17,86.21,13,133.16,16,1,72,15,2130.56,1379.36,751.2,1,0,2024-01
